bucket	status	name	dispatch	target	file	line	note
other	needs-classification	generate-new-buffer	stub-module	argument-derived	crates/elisp/src/primitives/core/stubs.rs	156	matched in stubs::call
other	needs-classification	get-load-suffixes	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	27	matched in stubs::call
other	needs-classification	get-truename-buffer	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	28	matched in stubs::call
other	needs-classification	gnutls-available-p	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	14	matched in stubs::call
other	needs-classification	group-gid	stub-module	constant-integer	crates/elisp/src/primitives/core/stubs.rs	68	matched in stubs::call
other	needs-classification	group-name	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	738	registered through Phase-1 stub list
other	needs-classification	group-name	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	371	matched in stubs::call
other	needs-classification	group-real-gid	stub-module	constant-integer	crates/elisp/src/primitives/core/stubs.rs	68	matched in stubs::call
other	needs-classification	hash-table-contains-p	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	736	registered through Phase-1 stub list
other	needs-classification	hash-table-contains-p	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	357	matched in stubs::call
other	needs-classification	hash-table-literal	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	735	registered through Phase-1 stub list
other	needs-classification	hash-table-literal	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	356	matched in stubs::call
other	needs-classification	indent-according-to-mode	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	163	matched in stubs::call
other	needs-classification	indent-for-tab-command	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	163	matched in stubs::call
other	needs-classification	kill-append	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	188	matched in stubs::call
other	needs-classification	kill-emacs	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	363	matched in stubs::call
other	needs-classification	kill-line	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	188	matched in stubs::call
other	needs-classification	kill-new	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	188	matched in stubs::call
other	needs-classification	kill-process	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	363	matched in stubs::call
other	needs-classification	kill-region	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	188	matched in stubs::call
other	needs-classification	kill-ring-save	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	188	matched in stubs::call
other	needs-classification	kill-whole-line	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	188	matched in stubs::call
other	needs-classification	lossage-size	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	737	registered through Phase-1 stub list
other	needs-classification	lossage-size	stub-module	constant-integer	crates/elisp/src/primitives/core/stubs.rs	368	matched in stubs::call
other	needs-classification	make-finalizer	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	732	registered through Phase-1 stub list
other	needs-classification	make-finalizer	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	344	matched in stubs::call
other	needs-classification	make-indirect-buffer	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	36	matched in stubs::call
other	needs-classification	make-record	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	731	registered through Phase-1 stub list
other	needs-classification	make-record	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	343	matched in stubs::call
other	needs-classification	make-ring	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	733	registered through Phase-1 stub list
other	needs-classification	make-ring	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	345	matched in stubs::call
other	needs-classification	many	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	330	matched in stubs::call
other	needs-classification	map-do	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	724	registered through Phase-1 stub list
other	needs-classification	map-do	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	320	matched in stubs::call
other	needs-classification	mapatoms	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	103	matched in stubs::call
other	needs-classification	mapbacktrace	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	221	matched in stubs::call
other	needs-classification	mapp	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	55	matched in stubs::call
other	needs-classification	menu-bar-lines	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	99	matched in stubs::call
other	needs-classification	menu-bar-mode	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	99	matched in stubs::call
other	needs-classification	module-function-p	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	299	matched in stubs::call
other	needs-classification	multibyte-char-to-unibyte	stub-module	helper-or-compound	crates/elisp/src/primitives/core/stubs.rs	112	matched in stubs::call
other	needs-classification	native-comp-available-p	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	14	matched in stubs::call
other	needs-classification	next-overlay-change	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	83	matched in stubs::call
other	needs-classification	num-processors	stub-module	constant-integer	crates/elisp/src/primitives/core/stubs.rs	369	matched in stubs::call
other	needs-classification	popup-menu	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	99	matched in stubs::call
other	needs-classification	posn-actual-col-row	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	131	matched in stubs::call
other	needs-classification	posn-area	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	131	matched in stubs::call
other	needs-classification	posn-col-row	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	131	matched in stubs::call
other	needs-classification	posn-object	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	131	matched in stubs::call
other	needs-classification	posn-object-width-height	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	131	matched in stubs::call
other	needs-classification	posn-object-x-y	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	131	matched in stubs::call
other	needs-classification	posn-string	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	131	matched in stubs::call
other	needs-classification	posn-timestamp	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	131	matched in stubs::call
other	needs-classification	posn-x-y	stub-module	nil	crates/elisp/src/primitives/core/stubs.rs	131	matched in stubs::call
other	needs-classification	prefix-numeric-value	phase1-registration	stubs::call	crates/elisp/src/primitives/core.rs	702	registered through Phase-1 stub list
